course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1461,,의정부체육관,37.760013,127.027967,,,생활체육,1,1,0,0,0
C1462,,장암농구장,37.723575,127.050800,,,농구,0,0,0,1,1
C1463,,장암하수처리장 테니스장,37.722026,127.052911,,,테니스,0,0,0,1,1
C1464,,종합운동장 농구장,37.757653,127.029144,,,농구,0,0,0,1,1
C1465,,중랑천 인라인스케이트장,37.725829,127.051605,,,롤러,0,0,0,1,1
C1466,,천보탁구장,37.755518,127.067851,,,탁구,0,0,0,1,1
C1467,,추동배드민턴장,37.738272,127.062149,,,배드민턴,0,0,0,1,1
C1468,,푸른마당 테니스장,37.747789,127.107554,,,테니스,0,0,0,1,1
C1469,,행복누리공원 배드민턴장,37.752083,127.042875,,,배드민턴,0,0,0,1,1
C1470,,호원실내테니스장,37.727234,127.035346,,,테니스,0,0,0,1,1
C1471,,활기 농구장,37.749563,127.108706,,,농구,0,0,0,1,1
C1472,,활기 배드민턴장,37.749563,127.108706,,,배드민턴,0,0,0,1,1
C1473,,남부권 복합문화 반다비 체육센터,37.119446,127.614622,,,생활체육,1,1,0,0,0
C1474,,대월면체육공원 다목적체육관,37.233271,127.475516,,,생활체육,1,1,0,0,0
C1475,,대월면체육공원 테니스장,37.233271,127.475516,,,테니스,0,0,0,1,1
C1476,,마장면 하수처리장 테니스장,36.497877,127.265434,,,테니스,0,0,0,1,1
C1477,,마장면체육공원 실내체육관,37.253014,127.378878,,,생활체육,1,1,0,0,0
C1478,,마장하수처리장농구장,37.225273,127.380583,,,농구,0,0,0,1,1
C1479,,모가면체육공원 실내체육관,37.183298,127.454881,,,생활체육,1,1,0,0,0
C1480,,모가면체육공원 테니스장,37.182342,127.456769,,,테니스,0,0,0,1,1
C1481,,백사면체육공원 농구장,37.343491,127.471331,,,농구,0,0,0,1,1
C1482,,백사면체육공원 배드민턴장,37.343491,127.471331,,,배드민턴,0,0,0,1,1
C1483,,북부권체육공원 그라운드골프장,37.311534,127.471586,,,골프,0,0,1,0,1
C1484,,북부권체육공원 테니스장,37.311534,127.471586,,,테니스,0,0,0,1,1
C1485,,북부권체육공원 파크골프장,37.311534,127.471586,,,파크골프,0,0,1,0,0
C1486,,서희청소년문화센터,37.280446,127.451765,,,생활체육,1,1,0,0,0
C1487,,설봉공원 국궁장,37.279457,127.427555,,,국궁,1,0,1,0,0
C1488,,설봉공원 인공암벽장,37.278884,127.426320,,,클라이밍,1,0,1,0,0
C1489,,설봉공원 테니스장,37.279457,127.427555,,,테니스,0,0,0,1,1
C1490,,설성면체육공원 다목적체육관,37.130179,127.506196,,,생활체육,1,1,0,0,0
C1491,,신둔면 그라운드골프장,37.330345,127.444098,,,골프,0,0,1,0,1
C1492,,신둔면 체육공원 농구장,37.316165,127.397378,,,농구,0,0,0,1,1
C1493,,신둔면체육공원 다목적체육관,37.316165,127.397378,,,생활체육,1,1,0,0,0
C1494,,율면체육공원 다목적체육관,37.092679,127.543964,,,생활체육,1,1,0,0,0
C1495,,율면체육공원 배드민턴장,37.079672,127.530191,,,배드민턴,0,0,0,1,1
C1496,,이천 파크골프장,37.271185,127.463554,,,파크골프,0,0,1,0,0
C1497,,이천선수촌 다기능체육관,37.331106,127.433808,,,생활체육,1,1,0,0,0
C1498,,이천선수촌 수영장,37.331106,127.433808,,,수영,0,1,1,1,0
C1499,,이천선수촌 양궁장,37.330551,127.433715,,,양궁,1,0,1,0,0
C1500,,이천선수촌 종합체육관,37.331106,127.433808,,,생활체육,1,1,0,0,0
C1501,,이천선수촌 체력단련장,37.330425,127.433849,,,웨이트,1,1,0,0,0
C1502,,이천선수촌 컬링장,37.331106,127.433808,,,빙상,0,0,0,1,1
C1503,,이천선수촌 테니스장,37.331106,127.433808,,,테니스,0,0,0,1,1
C1504,,이천스포츠센터 테니스장,37.236342,127.411502,,,테니스,0,0,0,1,1
C1505,,이천스포츠센터실내 수영장,37.236342,127.411502,,,수영,0,1,1,1,0
C1506,,이천시 배드민턴장,37.287702,127.435439,,,배드민턴,0,0,0,1,1
